Question,Option A,Option B,Option C,Option D,Answer
253. Who is known as the father of genetics?,Gregor Mendel,James Watson,Francis Crick,Charles Darwin,Gregor Mendel
254. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,Helicase,RNA polymerase,Helicase
255. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
256. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
257. What is the term for different forms of a gene?,Nucleotides,Chromatids,Codons,Alleles,Alleles
258. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
259. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
260. What is the term for different forms of a gene?,Alleles,Chromatids,Codons,Nucleotides,Alleles
261. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
262. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
263. What is a mutation not affecting amino acid sequences?,Silent mutation,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation
264. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Ligase,DNA polymerase,Helicase,Helicase
265. Which molecule carries genetic information in most organisms?,DNA,RNA,Lipid,Protein,DNA
266. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
267. What is the role of mRNA?,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
268. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
269. What is the function of a promoter region?,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription,To initiate transcription
270. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
271. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
272. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
273. Who is known as the father of genetics?,James Watson,Gregor Mendel,Francis Crick,Charles Darwin,Gregor Mendel
274. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
275. What is the role of mRNA?,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
276. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
277. Which molecule carries genetic information in most organisms?,DNA,Protein,RNA,Lipid,DNA
278. What is the term for different forms of a gene?,Alleles,Nucleotides,Codons,Chromatids,Alleles
279. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
280. What is the term for different forms of a gene?,Chromatids,Alleles,Codons,Nucleotides,Alleles
281. What is the basic unit of heredity?,Gene,Protein,Ribosome,Chromosome,Gene
282. What is a genotype?,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,Inheritance patterns,The genetic makeup of an organism
283. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
284. Which is a recessive genetic disorder?,Sickle cell anemia,Cystic fibrosis,Down syndrome,Huntington's disease,Cystic fibrosis
285. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,Charles Darwin,James Watson,Gregor Mendel
286. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,RNA polymerase,Ligase,Helicase
287. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,Francis Crick,James Watson,Gregor Mendel
288. Which is a recessive genetic disorder?,Huntington's disease,Sickle cell anemia,Cystic fibrosis,Down syndrome,Cystic fibrosis
289. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
290. What is the term for different forms of a gene?,Codons,Nucleotides,Chromatids,Alleles,Alleles
291. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
292. Which molecule carries genetic information in most organisms?,DNA,RNA,Lipid,Protein,DNA
293. What is the term for different forms of a gene?,Codons,Chromatids,Alleles,Nucleotides,Alleles
294. Which molecule carries genetic information in most organisms?,Protein,RNA,DNA,Lipid,DNA
295. Which molecule carries genetic information in most organisms?,DNA,Lipid,RNA,Protein,DNA
296. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
297. What is a genotype?,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
298. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,DNA polymerase,RNA polymerase,Helicase
299. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
300. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
301. What is the basic unit of heredity?,Protein,Chromosome,Gene,Ribosome,Gene
302. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
303. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
304. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism
305. Which molecule carries genetic information in most organisms?,RNA,Lipid,DNA,Protein,DNA
306. Which molecule carries genetic information in most organisms?,RNA,DNA,Protein,Lipid,DNA
307. What is a genotype?,The observable characteristics,Inheritance patterns,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
308. Who is known as the father of genetics?,Francis Crick,Charles Darwin,James Watson,Gregor Mendel,Gregor Mendel
309. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
310. What is the term for different forms of a gene?,Chromatids,Alleles,Codons,Nucleotides,Alleles
311. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
312. Which is a recessive genetic disorder?,Down syndrome,Cystic fibrosis,Sickle cell anemia,Huntington's disease,Cystic fibrosis
313. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Ligase,Helicase,Helicase
314. Which enzyme unwinds the DNA helix during replication?,Helicase,Ligase,DNA polymerase,RNA polymerase,Helicase
315. What is the term for different forms of a gene?,Codons,Alleles,Chromatids,Nucleotides,Alleles
316. Which molecule carries genetic information in most organisms?,DNA,RNA,Protein,Lipid,DNA
317. Which molecule carries genetic information in most organisms?,Lipid,RNA,DNA,Protein,DNA
318. What is the term for different forms of a gene?,Chromatids,Codons,Alleles,Nucleotides,Alleles
319. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation
320. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,DNA polymerase,Helicase,Ligase,Helicase
321. What is the basic unit of heredity?,Chromosome,Gene,Protein,Ribosome,Gene
322. What is the term for different forms of a gene?,Alleles,Nucleotides,Chromatids,Codons,Alleles
323. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
324. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
325. What is a genotype?,The observable characteristics,The process of protein synthesis,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
326. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
327. What is a genotype?,The genetic makeup of an organism,The process of protein synthesis,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
328. What is the function of a promoter region?,Code for a protein,To initiate transcription,Splice mRNA,Terminate transcription,To initiate transcription
329. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,Helicase,RNA polymerase,Helicase
330. What is the term for different forms of a gene?,Codons,Alleles,Chromatids,Nucleotides,Alleles
331. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
332. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
333. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Missense mutation,Silent mutation,Frameshift mutation,Silent mutation
334. What is the term for different forms of a gene?,Nucleotides,Alleles,Codons,Chromatids,Alleles
335. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,James Watson,Charles Darwin,Gregor Mendel
336. Which molecule carries genetic information in most organisms?,DNA,RNA,Protein,Lipid,DNA
337. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
338. Which molecule carries genetic information in most organisms?,Lipid,DNA,Protein,RNA,DNA
339. What is a genotype?,The genetic makeup of an organism,The process of protein synthesis,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
340. What is a genotype?,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
341. Who is known as the father of genetics?,Gregor Mendel,Francis Crick,James Watson,Charles Darwin,Gregor Mendel
342. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
343. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
344. What is the term for different forms of a gene?,Nucleotides,Alleles,Chromatids,Codons,Alleles
345. Which enzyme unwinds the DNA helix during replication?,Ligase,DNA polymerase,Helicase,RNA polymerase,Helicase
346. Which molecule carries genetic information in most organisms?,Protein,Lipid,DNA,RNA,DNA
347. What is a genotype?,The genetic makeup of an organism,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism
348. Which is a recessive genetic disorder?,Cystic fibrosis,Down syndrome,Sickle cell anemia,Huntington's disease,Cystic fibrosis
349. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Missense mutation,Silent mutation,Silent mutation
350. Which is a recessive genetic disorder?,Cystic fibrosis,Down syndrome,Huntington's disease,Sickle cell anemia,Cystic fibrosis
351. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation,Silent mutation
352. Which is a recessive genetic disorder?,Down syndrome,Sickle cell anemia,Huntington's disease,Cystic fibrosis,Cystic fibrosis
353. Which molecule carries genetic information in most organisms?,RNA,DNA,Protein,Lipid,DNA
354. Which molecule carries genetic information in most organisms?,Lipid,RNA,Protein,DNA,DNA
355. What is a genotype?,Inheritance patterns,The process of protein synthesis,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
356. What is the function of a promoter region?,Splice mRNA,To initiate transcription,Code for a protein,Terminate transcription,To initiate transcription
357. What is a mutation not affecting amino acid sequences?,Silent mutation,Frameshift mutation,Nonsense mutation,Missense mutation,Silent mutation
358. Which molecule carries genetic information in most organisms?,Lipid,Protein,DNA,RNA,DNA
359. What is the basic unit of heredity?,Gene,Ribosome,Chromosome,Protein,Gene
360. Which molecule carries genetic information in most organisms?,RNA,Protein,Lipid,DNA,DNA
361. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
362. Which molecule carries genetic information in most organisms?,DNA,RNA,Protein,Lipid,DNA
363. What is the basic unit of heredity?,Gene,Chromosome,Ribosome,Protein,Gene
364. What is the role of mRNA?,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
365. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
366. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
367. What is the function of a promoter region?,Terminate transcription,Code for a protein,To initiate transcription,Splice mRNA,To initiate transcription
368. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
369. Who is known as the father of genetics?,Gregor Mendel,James Watson,Charles Darwin,Francis Crick,Gregor Mendel
370. What is the function of a promoter region?,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription,To initiate transcription
371. Which molecule carries genetic information in most organisms?,RNA,Lipid,DNA,Protein,DNA
372. Who is known as the father of genetics?,James Watson,Francis Crick,Gregor Mendel,Charles Darwin,Gregor Mendel
373. What is the basic unit of heredity?,Chromosome,Gene,Protein,Ribosome,Gene
374. Who is known as the father of genetics?,Gregor Mendel,Charles Darwin,James Watson,Francis Crick,Gregor Mendel
375. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
376. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis
377. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
378. Which molecule carries genetic information in most organisms?,DNA,Protein,Lipid,RNA,DNA
379. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
380. What is the basic unit of heredity?,Protein,Ribosome,Chromosome,Gene,Gene
381. Who is known as the father of genetics?,Francis Crick,Charles Darwin,James Watson,Gregor Mendel,Gregor Mendel
382. What is the function of a promoter region?,Splice mRNA,Terminate transcription,To initiate transcription,Code for a protein,To initiate transcription
383. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Code for a protein,Splice mRNA,To initiate transcription
384. What is the role of mRNA?,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
385. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Silent mutation,Missense mutation,Frameshift mutation,Silent mutation
386. What is the basic unit of heredity?,Gene,Chromosome,Protein,Ribosome,Gene
387. What is the role of mRNA?,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
388. What is a genotype?,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
389. What is the role of mRNA?,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
390. What is the basic unit of heredity?,Ribosome,Gene,Protein,Chromosome,Gene
391. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes
392. What is the basic unit of heredity?,Protein,Ribosome,Chromosome,Gene,Gene
393. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
394. Which is a recessive genetic disorder?,Huntington's disease,Sickle cell anemia,Down syndrome,Cystic fibrosis,Cystic fibrosis
395. Which molecule carries genetic information in most organisms?,Protein,DNA,Lipid,RNA,DNA
396. Which molecule carries genetic information in most organisms?,DNA,Lipid,RNA,Protein,DNA
397. What is the function of a promoter region?,To initiate transcription,Code for a protein,Terminate transcription,Splice mRNA,To initiate transcription
398. Which is a recessive genetic disorder?,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Down syndrome,Cystic fibrosis
399. What is a mutation not affecting amino acid sequences?,Missense mutation,Silent mutation,Frameshift mutation,Nonsense mutation,Silent mutation
400. What is the basic unit of heredity?,Protein,Chromosome,Ribosome,Gene,Gene
401. What is the term for different forms of a gene?,Alleles,Codons,Chromatids,Nucleotides,Alleles
402. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Store genetic information,Carry genetic instructions from DNA to ribosomes
403. What is the term for different forms of a gene?,Chromatids,Codons,Nucleotides,Alleles,Alleles
404. Which molecule carries genetic information in most organisms?,Lipid,DNA,RNA,Protein,DNA
405. Which enzyme unwinds the DNA helix during replication?,Helicase,RNA polymerase,Ligase,DNA polymerase,Helicase
406. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
407. What is a genotype?,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
408. What is the term for different forms of a gene?,Alleles,Chromatids,Codons,Nucleotides,Alleles
409. What is a genotype?,The process of protein synthesis,The genetic makeup of an organism,Inheritance patterns,The observable characteristics,The genetic makeup of an organism
410. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis
411. What is the function of a promoter region?,Code for a protein,Terminate transcription,Splice mRNA,To initiate transcription,To initiate transcription
412. What is the basic unit of heredity?,Chromosome,Gene,Protein,Ribosome,Gene
413. What is the function of a promoter region?,Code for a protein,Terminate transcription,To initiate transcription,Splice mRNA,To initiate transcription
414. What is the basic unit of heredity?,Ribosome,Protein,Chromosome,Gene,Gene
415. What is a mutation not affecting amino acid sequences?,Missense mutation,Nonsense mutation,Frameshift mutation,Silent mutation,Silent mutation
416. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,DNA polymerase,RNA polymerase,Helicase
417. What is the function of a promoter region?,To initiate transcription,Terminate transcription,Splice mRNA,Code for a protein,To initiate transcription
418. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,RNA polymerase,DNA polymerase,Helicase
419. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,RNA polymerase,Ligase,Helicase,Helicase
420. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
421. What is the term for different forms of a gene?,Alleles,Nucleotides,Chromatids,Codons,Alleles
422. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,RNA polymerase,DNA polymerase,Helicase
423. Who is known as the father of genetics?,James Watson,Francis Crick,Gregor Mendel,Charles Darwin,Gregor Mendel
424. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Cystic fibrosis
425. What is the basic unit of heredity?,Protein,Chromosome,Gene,Ribosome,Gene
426. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Splice mRNA,Code for a protein,To initiate transcription
427. What is the basic unit of heredity?,Ribosome,Protein,Chromosome,Gene,Gene
428. Which molecule carries genetic information in most organisms?,Lipid,RNA,DNA,Protein,DNA
429. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Down syndrome,Cystic fibrosis,Cystic fibrosis
430. Who is known as the father of genetics?,Francis Crick,James Watson,Gregor Mendel,Charles Darwin,Gregor Mendel
431. What is the function of a promoter region?,Splice mRNA,Terminate transcription,To initiate transcription,Code for a protein,To initiate transcription
432. What is a mutation not affecting amino acid sequences?,Silent mutation,Nonsense mutation,Missense mutation,Frameshift mutation,Silent mutation
433. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Down syndrome,Cystic fibrosis,Cystic fibrosis
434. Which is a recessive genetic disorder?,Cystic fibrosis,Sickle cell anemia,Huntington's disease,Down syndrome,Cystic fibrosis
435. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
436. What is the basic unit of heredity?,Protein,Gene,Chromosome,Ribosome,Gene
437. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
438. What is the term for different forms of a gene?,Chromatids,Nucleotides,Alleles,Codons,Alleles
439. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
440. What is the term for different forms of a gene?,Codons,Chromatids,Alleles,Nucleotides,Alleles
441. What is the function of a promoter region?,Terminate transcription,To initiate transcription,Splice mRNA,Code for a protein,To initiate transcription
442. What is the term for different forms of a gene?,Alleles,Codons,Chromatids,Nucleotides,Alleles
443. Which enzyme unwinds the DNA helix during replication?,Ligase,Helicase,RNA polymerase,DNA polymerase,Helicase
444. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
445. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
446. What is a genotype?,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
447. What is a genotype?,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
448. Which enzyme unwinds the DNA helix during replication?,RNA polymerase,Helicase,Ligase,DNA polymerase,Helicase
449. What is a genotype?,Inheritance patterns,The genetic makeup of an organism,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism
450. Which molecule carries genetic information in most organisms?,DNA,Protein,Lipid,RNA,DNA
451. Which is a recessive genetic disorder?,Sickle cell anemia,Down syndrome,Huntington's disease,Cystic fibrosis,Cystic fibrosis
452. What is the basic unit of heredity?,Protein,Ribosome,Chromosome,Gene,Gene
453. Which enzyme unwinds the DNA helix during replication?,Helicase,RNA polymerase,Ligase,DNA polymerase,Helicase
454. What is the role of mRNA?,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
455. What is the term for different forms of a gene?,Nucleotides,Codons,Chromatids,Alleles,Alleles
456. What is a genotype?,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The process of protein synthesis,The genetic makeup of an organism
457. Which molecule carries genetic information in most organisms?,DNA,RNA,Lipid,Protein,DNA
458. Which enzyme unwinds the DNA helix during replication?,DNA polymerase,Ligase,RNA polymerase,Helicase,Helicase
459. What is the basic unit of heredity?,Ribosome,Gene,Chromosome,Protein,Gene
460. What is the basic unit of heredity?,Ribosome,Chromosome,Protein,Gene,Gene
461. Which molecule carries genetic information in most organisms?,Lipid,RNA,DNA,Protein,DNA
462. What is the term for different forms of a gene?,Codons,Chromatids,Nucleotides,Alleles,Alleles
463. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
464. Which is a recessive genetic disorder?,Down syndrome,Huntington's disease,Cystic fibrosis,Sickle cell anemia,Cystic fibrosis
465. What is the function of a promoter region?,Code for a protein,Terminate transcription,To initiate transcription,Splice mRNA,To initiate transcription
466. What is a genotype?,The process of protein synthesis,The observable characteristics,Inheritance patterns,The genetic makeup of an organism,The genetic makeup of an organism
467. What is the role of mRNA?,Store genetic information,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
468. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Down syndrome,Cystic fibrosis
469. What is the role of mRNA?,Transfer amino acids to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
470. What is the function of a promoter region?,To initiate transcription,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription
471. What is a genotype?,Inheritance patterns,The observable characteristics,The process of protein synthesis,The genetic makeup of an organism,The genetic makeup of an organism
472. Which enzyme unwinds the DNA helix during replication?,Helicase,DNA polymerase,Ligase,RNA polymerase,Helicase
473. Which is a recessive genetic disorder?,Huntington's disease,Sickle cell anemia,Cystic fibrosis,Down syndrome,Cystic fibrosis
474. Which molecule carries genetic information in most organisms?,DNA,Protein,Lipid,RNA,DNA
475. Which is a recessive genetic disorder?,Sickle cell anemia,Cystic fibrosis,Down syndrome,Huntington's disease,Cystic fibrosis
476. What is the role of mRNA?,Store genetic information,Synthesize proteins,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Carry genetic instructions from DNA to ribosomes
477. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Silent mutation,Missense mutation,Silent mutation
478. Who is known as the father of genetics?,Charles Darwin,James Watson,Francis Crick,Gregor Mendel,Gregor Mendel
479. What is a mutation not affecting amino acid sequences?,Nonsense mutation,Frameshift mutation,Silent mutation,Missense mutation,Silent mutation
480. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
481. What is the role of mRNA?,Transfer amino acids to ribosomes,Carry genetic instructions from DNA to ribosomes,Store genetic information,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
482. What is the term for different forms of a gene?,Chromatids,Nucleotides,Codons,Alleles,Alleles
483. What is the term for different forms of a gene?,Alleles,Nucleotides,Codons,Chromatids,Alleles
484. Which molecule carries genetic information in most organisms?,Protein,Lipid,RNA,DNA,DNA
485. What is the role of mRNA?,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
486. Which molecule carries genetic information in most organisms?,Lipid,RNA,DNA,Protein,DNA
487. Which is a recessive genetic disorder?,Huntington's disease,Down syndrome,Sickle cell anemia,Cystic fibrosis,Cystic fibrosis
488. What is the basic unit of heredity?,Chromosome,Ribosome,Gene,Protein,Gene
489. What is the basic unit of heredity?,Protein,Chromosome,Gene,Ribosome,Gene
490. Which molecule carries genetic information in most organisms?,Protein,Lipid,DNA,RNA,DNA
491. Who is known as the father of genetics?,Charles Darwin,James Watson,Gregor Mendel,Francis Crick,Gregor Mendel
492. What is the basic unit of heredity?,Ribosome,Protein,Chromosome,Gene,Gene
493. What is the term for different forms of a gene?,Codons,Chromatids,Alleles,Nucleotides,Alleles
494. What is the term for different forms of a gene?,Alleles,Nucleotides,Codons,Chromatids,Alleles
495. What is the role of mRNA?,Store genetic information,Carry genetic instructions from DNA to ribosomes,Transfer amino acids to ribosomes,Synthesize proteins,Carry genetic instructions from DNA to ribosomes
496. What is the basic unit of heredity?,Ribosome,Gene,Chromosome,Protein,Gene
497. Which is a recessive genetic disorder?,Cystic fibrosis,Huntington's disease,Sickle cell anemia,Down syndrome,Cystic fibrosis
498. What is the basic unit of heredity?,Ribosome,Gene,Protein,Chromosome,Gene
499. Which molecule carries genetic information in most organisms?,Lipid,RNA,Protein,DNA,DNA
500. What is the role of mRNA?,Carry genetic instructions from DNA to ribosomes,Synthesize proteins,Transfer amino acids to ribosomes,Store genetic information,Carry genetic instructions from DNA to ribosomes
501. What is the function of a promoter region?,Splice mRNA,Code for a protein,Terminate transcription,To initiate transcription,To initiate transcription
502. What is a genotype?,The process of protein synthesis,Inheritance patterns,The observable characteristics,The genetic makeup of an organism,The genetic makeup of an organism
503. What is the term for different forms of a gene?,Nucleotides,Chromatids,Codons,Alleles,Alleles
504. Who is known as the father of genetics?,James Watson,Gregor Mendel,Francis Crick,Charles Darwin,Gregor Mendel
505. What is the function of a promoter region?,Splice mRNA,Terminate transcription,To initiate transcription,Code for a protein,To initiate transcription
506. Which is a recessive genetic disorder?,Sickle cell anemia,Huntington's disease,Down syndrome,Cystic fibrosis,Cystic fibrosis
